observation_date,NumberofWorkers
2013-08-01,79194780.12462410
2013-09-01,79019551.54449890
2013-10-01,79014503.84814060
2013-11-01,79035961.13649720
2013-12-01,78817150.21624360
2014-01-01,78516047.61964730
2014-02-01,78512528.65216160
2014-03-01,78520730.14835780
2014-04-01,78370668.77525680
2014-05-01,78400663.16229910
2014-06-01,78267748.06404870
2014-07-01,78133988.90913090
2014-08-01,78021050.28589460
2014-09-01,78025881.02226250
2014-10-01,77894944.38599860
2014-11-01,77792656.67575080
2014-12-01,77773092.29919120
2015-01-01,77588156.59444630
2015-02-01,77621179.36552390
2015-03-01,77544592.95999070
2015-04-01,77309339.37481370
2015-05-01,77267285.10402520
2015-06-01,77344491.86274620
2015-07-01,77189116.84731640
2015-08-01,77120253.48586300
2015-09-01,77214062.87250860
2015-10-01,77103341.83473840
2015-11-01,76857166.51961510
2015-12-01,76921013.17841260
2016-01-01,76963702.17161280
2016-02-01,76723506.27995320
2016-03-01,76612665.31324340
2016-04-01,76552128.93139670
2016-05-01,76413297.99505920
2016-06-01,76423841.34423960
2016-07-01,76486958.69169720
2016-08-01,76509452.39785070
2016-09-01,76388474.79188140
2016-10-01,76301280.88968980
2016-11-01,76246302.89059920
2016-12-01,76348388.30277690
2017-01-01,76375463.16049010
2017-02-01,76078926.85352700
2017-03-01,75940107.89148260
2017-04-01,76049012.54611100
2017-05-01,76195333.43495340
2017-06-01,76077303.95313490
2017-07-01,76051279.89317910
2017-08-01,75984681.14943560
2017-09-01,75889165.97626290
2017-10-01,75740081.53095680
2017-11-01,75751806.56943140
2017-12-01,75696837.04103530
2018-01-01,75618373.80285960
2018-02-01,75718279.71304700
2018-03-01,75758768.20565100
2018-04-01,75709871.95752100
2018-05-01,75518569.08304450
2018-06-01,75430226.46246090
2018-07-01,75382609.47688020
2018-08-01,75331616.73006360
2018-09-01,75232894.27837500
2018-10-01,75307762.98529310
2018-11-01,75367804.57046960
2018-12-01,75163222.73433450
2019-01-01,75022297.18658210
2019-02-01,75239951.85331400
2019-03-01,75268381.60283960
2019-04-01,75073986.29664260
2019-05-01,74990421.19040930
2019-06-01,74975918.68669050
2019-07-01,74953913.82634760
2019-08-01,74973742.86477540
2019-09-01,74932447.20367250
2019-10-01,75024966.72590850
2019-11-01,74938212.16838330
2019-12-01,74845760.39443440
2020-01-01,74714502.15062060
2020-02-01,74891996.44339650
2020-03-01,74831279.24915830
2020-04-01,74521326.47052230
2020-05-01,74552292.19671860
2020-06-01,74525559.97472240
2020-07-01,74430782.62721500
2020-08-01,74564124.06386100
2020-09-01,74469002.14178750
2020-10-01,74462868.43825050
2020-11-01,74638615.35939420
