Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Bahamas, The",BHS,,,,70.94999695,,,,,,,65.88999939,,,,,,,,,,57.93999863,,,,,,,,,,57.72999954,,,,57.77000046,,,,54.84000015,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.09329987,33.06110001,32.85409927,32.26879883,32.68569946,31.20210075,29.2451992,28.11709976,29.00379944,32.10300064,30.20669937,32.18870163,32.11429977,34.87860107,
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.00999832,,,,,,,,,,44.74000168,,,,,,,,,,48.20000076,,,,,,,,,,,
Belize,BLZ,51.72999954,,,,,,,,,,14.42000008,,,,,,,,,,,,,,,,,,,,,,,,46.77000046,,,,,,,,,,,,,,,,,,53.18000031,46.01580048,47.94060135,46.13019943,46.37189865,46.93050003,,,
Bermuda,BMU,,,,,,,,,,,68.06999969,,,,,,88.02999878,,,,71.51999664,,,,,,,,,,,55.36000061,,,,,,,,,50.40999985,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,,,,,,,,,,,,,,,,,45.36000061,,,,46.61999893,46.38000107,46.16999817,,,44.65999985,45,44.97000122,,,44.75999832,,49.45000076,,,45.40999985,44.09999847,52.75999832,,,51.59999847,,,,,49.22570038,54.77560043,,51.08179855,50.66910172,,52.56499863,44.83560181,46.04930115,51.39599991,44.06259918,43.53929901,44.53590012,49.60549927,49.08150101,
Brazil,BRA,51.24000168,,,,,,,,,,49.52999878,,,61.93999863,,,,,,,55.33000183,,,,,63.77999878,63.99000168,64.83999634,64.27999878,64.06999969,63.95000076,63.95000076,67.19000244,66.37999725,,63.64500046,61.27170181,61.77220154,61.79199982,62.03020096,,61.41910172,62.53979874,62.29069901,63.5019989,64.92220306,63.43370056,63.15819931,62.69950104,62.28739929,,58.74349976,56.18880081,54.90890121,53.83319855,53.79550171,54.07460022,54.99950027,55.2582016,55.89139938,
Barbados,BRB,,,,,,,,,,,64.41000366,,,,,,,,,,67.30999756,,,63.52999878,,,60.50999832,61.27999878,62.77000046,66.51000214,65.06999969,60.61999893,62.13999939,,62.88999939,64.65000153,64.34999847,61.86000061,,,,,,57.06000137,57.65999985,,,,,,,52.95999908,47.16999817,47.20000076,46.31999969,44.18000031,45.50999832,,,,
Brunei Darussalam,BRN,42.90000153,,,,,,,,,,,40.00999832,,,,,,,44.54000092,,,49.38000107,,,,,43.88000107,,,,,47.02999878,,,,,,,,,,49.25,,,,,,,,,,,,,36.41270065,,,39.29130173,40.65879822,39.8158989,
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.70999908,40.59999847,,,48.59999847,40.38000107,37.97000122,32.31000137,,26.90999985,29.62000084,,,,,
